Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
6666,C,C,Bernabè,Parma,16,11,5,16,11,5,34,34
6717,C,M;C,Konè I.,Sassuolo,16,6,10,16,7,9,29,34
6908,C,C,Atta,Udinese,16,6,10,16,6,10,42,42
4404,C,C;T,Thorsby,Genoa,15,5,10,15,5,10,13,13
5422,C,E;W,Zalewski,Atalanta,15,6,9,15,6,9,20,20
6884,C,W;A,Conceicao,Juventus,15,18,-3,14,17,-3,39,39
4364,C,T,Gaetano,Cagliari,14,8,6,14,7,7,19,17
7126,C,T,Baturina,Como,14,9,5,13,8,5,26,23
449,C,T;A,Vazquez,Cremonese,14,10,4,14,10,4,14,14
4973,C,M;C,McKennie,Juventus,14,10,4,13,11,2,32,37
5674,C,C,Basic,Lazio,14,1,13,14,1,13,24,24
6398,C,W;A,Isaksen,Lazio,14,14,0,14,14,0,32,32
632,C,W;A,Zaccagni,Lazio,14,26,-12,14,25,-11,92,92
530,C,C;T,Pellegrini Lo.,Roma,14,11,3,14,11,3,25,25
2077,C,C;T,Pasalic,Atalanta,13,9,4,13,9,4,23,23
7133,C,W;T,Vandeputte,Cremonese,13,12,1,13,12,1,27,29
827,C,M;C,Locatelli,Juventus,13,12,1,14,13,1,41,46
5562,C,M;C,Thuram K.,Juventus,13,16,-3,14,17,-3,43,48
5504,C,M;C,Coulibaly L.,Lecce,13,7,6,13,8,5,21,26
6015,C,C;T,Berisha M.,Lecce,13,3,10,13,3,10,25,25
5453,C,M;C,Ricci S.,Milan,13,10,3,13,11,2,13,16
4199,C,C;T,Loftus-Cheek,Milan,13,8,5,13,8,5,16,16
5735,C,W;T,Volpato,Sassuolo,13,5,8,13,5,8,16,19
7314,C,C;T,Taylor K.,Lazio,13,14,-1,13,14,-1,36,36
6640,C,W,Felici,Cagliari,12,6,6,11,5,6,10,10
4427,C,C;T,Malinovskyi,Genoa,12,8,4,12,8,4,37,37
333,C,M;C,Cataldi,Lazio,12,5,7,12,5,7,24,29
2334,C,W,Leris,Pisa,12,2,10,12,2,10,10,10
779,C,M;C,Cristante,Roma,12,9,3,12,9,3,28,33
5844,C,C;T,Thorstvedt,Sassuolo,12,8,4,12,8,4,28,28
6684,C,C;T,Ekkelenkamp,Udinese,12,10,2,12,10,2,19,19
6458,C,C,Serdar,Verona,12,5,7,12,5,7,16,16
5119,C,T,Samardzic,Atalanta,11,12,-1,11,11,0,13,11
5298,C,M;C,Pobega,Bologna,11,8,3,11,9,2,15,20
5559,C,C;W;T,Da Cunha,Como,11,12,-1,11,13,-2,18,21
6020,C,C;W,Ellertsson,Genoa,11,5,6,11,5,6,12,14
7070,C,C,Sucic P.,Inter,11,9,2,11,9,2,18,18
4711,C,E;W,Kostic,Juventus,11,4,7,11,5,6,15,15
536,C,W,Politano,Napoli,11,15,-4,11,14,-3,23,23
2839,C,W;A,Sottil,Lecce,11,11,0,11,10,1,19,19
5792,C,M;C,Ederson D.S.,Atalanta,10,15,-5,10,16,-6,31,36
5036,C,C;T,Caqueret,Como,10,12,-2,10,12,-2,13,13
4686,C,M;C,Fofana Y.,Milan,10,11,-1,10,12,-2,27,32
4287,C,M;C,Lobotka,Napoli,10,9,1,10,10,0,25,30
7146,C,E;M,Tourè I.,Pisa,10,6,4,11,7,4,25,30
6815,C,W,Fadera,Sassuolo,10,6,4,10,5,5,14,11
6680,C,M;C,Karlstrom,Udinese,10,6,4,10,6,4,18,23
1976,C,M;C,Mazzitelli,Cagliari,10,5,5,10,5,5,17,22
2528,C,M;C,Matic,Sassuolo,10,4,6,10,5,5,18,23
5651,C,W,Harrison,Fiorentina,10,10,0,10,10,0,23,23
5791,C,M;C,Frendrup,Genoa,9,9,0,9,10,-1,20,25
5813,C,C;T,Miretti,Juventus,9,5,4,9,5,4,28,28
5318,C,W;T,Tramoni M.,Pisa,9,12,-3,9,12,-3,25,27
7028,C,C,Bernede,Verona,9,4,5,9,4,5,15,15
5761,C,W,Zhegrova,Juventus,9,19,-10,9,19,-10,15,15
22,C,M;C,De Roon,Atalanta,8,12,-4,8,13,-5,26,31
6054,C,M;C,Moro N.,Bologna,8,3,5,8,3,5,11,16
6206,C,C;T,Fabbian,Bologna,8,10,-2,8,10,-2,16,16
6252,C,C;T,Folorunsho,Cagliari,8,9,-1,8,9,-1,16,16
4465,C,C,Fagioli,Fiorentina,8,8,0,8,8,0,28,28
6898,C,M;C,Keita M.,Parma,8,6,2,8,7,1,14,17
795,C,W,El Shaarawy,Roma,8,8,0,8,7,1,12,12
6481,C,C,Payero,Cremonese,8,4,4,8,4,4,8,8
7198,C,C,Piotrowski,Udinese,8,6,2,8,6,2,14,14
2670,C,W;A,Bailey,Roma,8,16,-8,3,15,-12,10,10
801,C,M;C,Gagliardini,Verona,8,2,6,8,2,6,6,8
4947,C,C;T,Brescianini,Fiorentina,7,8,-1,7,8,-1,21,21
2529,C,C;T,Mkhitaryan,Inter,7,9,-2,7,9,-2,15,15
5992,C,M;C,Bondo,Cremonese,7,3,4,7,3,4,16,21
6593,C,C;T,Akinsanmiro,Pisa,7,3,4,7,3,4,12,12
5888,C,C;T,Casadei,Torino,7,12,-5,7,12,-5,23,23
7209,C,C,Sorensen O.,Parma,7,6,1,7,6,1,11,11
6844,C,W;T,Rowe,Bologna,7,14,-7,7,14,-7,21,23
4870,C,M;C,Adopo,Cagliari,6,5,1,6,6,0,14,15
1871,C,M;C,Deiola,Cagliari,6,5,1,6,5,1,14,17
6424,C,M;C,Prati,Cagliari,6,3,3,6,3,3,11,14
6294,C,M;C,Ndour,Fiorentina,6,2,4,6,2,4,14,17
5301,C,E;W,Luis Henrique,Inter,6,7,-1,6,7,-1,15,15
181,C,M;C,Vecino,Lazio,6,6,0,6,6,0,13,16
6549,C,W;A,Pierotti,Lecce,6,10,-4,6,9,-3,14,12
5998,C,E;W,Zerbin,Cremonese,6,3,3,6,3,3,10,13
5131,C,M;C,Gilmour,Napoli,6,7,-1,6,7,-1,14,17
6190,C,C,Pisilli,Roma,6,7,-1,6,7,-1,16,16
5823,C,T;A,Baldanzi,Roma,6,8,-2,6,8,-2,11,11
7254,C,T,Lorran,Pisa,6,7,-1,6,6,0,13,10
4479,C,W;T,Elmas,Napoli,6,11,-5,6,11,-5,22,24
7318,C,C;T,Gandelman,Lecce,6,6,0,6,6,0,13,13
788,C,M;C,Freuler,Bologna,5,11,-6,5,12,-7,16,21
5784,C,C,Aebischer,Pisa,5,4,1,5,4,1,12,12
5858,C,C;T,Ferguson,Bologna,5,11,-6,5,11,-6,16,16
184,C,W;A,Bernardeschi,Bologna,5,9,-4,5,8,-3,15,15
27,C,M;C,Grassi,Cremonese,5,4,1,5,4,1,8,10
6917,C,M;C,Masini,Genoa,5,5,0,5,5,0,10,12
5685,C,C;T,Koopmeiners,Juventus,5,14,-9,5,14,-9,15,15
6394,C,M;C,Ramadani,Lecce,5,6,-1,5,7,-2,13,16
5295,C,C;W,Musah,Atalanta,5,6,-1,5,6,-1,11,13
5290,C,M;C,Estevez,Parma,5,2,3,5,2,3,10,10
6984,C,W;A,Ondrejka,Parma,5,13,-8,5,12,-7,18,18
7145,C,E;M,Piccinini G.,Pisa,5,6,-1,5,7,-2,12,15
7149,C,M;C,Marin M.,Pisa,5,6,-1,5,6,-1,11,14
6271,C,M;C,El Aynaoui,Roma,5,9,-4,5,9,-4,13,16
7157,C,C,Iannoni,Sassuolo,5,1,4,5,1,4,8,8
4890,C,M;C,Tameze,Torino,5,5,0,5,5,0,9,12
2848,C,C;T,Frattesi,Inter,4,14,-10,4,14,-10,10,10
4459,C,M;C,Rovella,Lazio,4,8,-4,3,9,-6,12,15
5457,C,M;C,Maleh,Lecce,4,6,-2,4,7,-3,6,8
5319,C,C,Sohm,Fiorentina,4,12,-8,4,12,-8,9,9
6170,C,C,Gineitis,Torino,4,5,-1,4,5,-1,11,11
5540,C,M;C,Niasse,Verona,4,3,1,4,3,1,10,13
7203,C,C,Jashari,Milan,4,13,-9,4,13,-9,12,12
6218,C,W;T;A,Oristanio,Parma,4,12,-8,4,12,-8,12,15
4896,C,T;A,Maldini,Atalanta,3,9,-6,3,8,-5,11,11
4284,C,M;C,Sergi Roberto,Como,3,4,-1,3,4,-1,10,10
6010,C,C;T,Fazzini,Fiorentina,3,11,-8,3,11,-8,8,8
5719,C,M;C,Asllani,Torino,3,4,-1,3,4,-1,14,19
6191,C,M;C,Belahyane,Lazio,3,4,-1,3,4,-1,7,10
6629,C,C;T,Dele-Bashiru,Lazio,3,11,-8,3,11,-8,11,11
6410,C,M;C,Kaba,Lecce,3,1,2,3,1,2,12,15
6634,C,W,Tete Morente,Lecce,3,9,-6,3,8,-5,12,10
6246,C,M;C,Lipani,Sassuolo,3,4,-1,3,4,-1,8,11
5007,C,C,Ilic,Torino,3,7,-4,3,7,-4,8,8
6889,C,C;T,Anjorin,Torino,3,10,-7,3,10,-7,10,10
5850,C,C,Lovric,Udinese,3,9,-6,3,9,-6,8,8
7208,C,M;C,Miller L.,Udinese,3,3,0,3,4,-1,10,12
6677,C,C;T,Adzic,Juventus,3,1,2,3,1,2,1,1
5610,C,M;C,Vranckx,Sassuolo,3,4,-1,3,5,-2,10,13
7010,C,M;C,Al-Musrati,Verona,3,4,-1,3,5,-2,7,8
4349,C,M;C,Nicolussi Caviglia,Fiorentina,3,9,-6,3,10,-7,10,13
6528,C,W;T,Sarmiento J.,Cremonese,3,4,-1,3,4,-1,8,8
7132,C,M;C,Collocolo,Cremonese,2,8,-6,2,9,-7,13,16
6804,C,M;C,Richardson,Fiorentina,2,4,-2,2,4,-2,8,9
5788,C,T,Sabiri,Fiorentina,2,2,0,2,2,0,4,4
4970,C,C;W,Messias,Genoa,2,8,-6,2,8,-6,10,10
6722,C,W;T,Gronbaek,Genoa,2,12,-10,2,12,-10,4,4
5872,C,C;T,Helgason,Lecce,2,8,-6,2,8,-6,7,7
7138,C,M;C,Ordonez C.,Parma,2,5,-3,2,6,-4,10,13
7147,C,M;C,Hojholt,Pisa,2,1,1,2,1,1,2,2
7150,C,C,Vural,Pisa,2,3,-1,2,3,-1,6,6
6219,C,M;C,Boloca,Sassuolo,2,6,-4,2,6,-4,4,6
6212,C,M;C,Zarraga,Udinese,2,2,0,2,2,0,6,7
5688,C,W;T,Harroui,Verona,2,7,-5,2,7,-5,11,12
6005,C,C;T,Ilkhan,Torino,2,1,1,2,1,1,10,10
7223,C,W;T,Vergara,Napoli,2,1,1,2,1,1,5,5
6506,C,E;W,Fini,Genoa,2,1,1,2,1,1,1,1
6274,C,C,Diouf,Inter,2,7,-5,2,7,-5,10,10
7248,C,M;C,Gorter,Lecce,2,1,1,2,1,1,1,1
6538,C,M;C,Onana J.,Genoa,2,2,0,2,2,0,4,4
5286,C,M;C,Akpa Akpro,Verona,2,1,1,2,1,1,6,8
6024,C,M;C,Sulemana I.,Bologna,1,4,-3,1,4,-3,10,11
7165,C,M;C,Liteta,Cagliari,1,1,0,1,1,0,6,8
7135,C,C;T,Stanciu,Genoa,1,8,-7,1,8,-7,5,5
6980,C,W,Venturino,Genoa,1,3,-2,1,3,-2,10,10
6633,C,M;C,Pierret,Lecce,1,6,-5,1,7,-6,9,11
6645,C,T,Marchwinski,Lecce,1,1,0,1,1,0,2,2
2117,C,C;T,Kastanos,Verona,1,4,-3,1,4,-3,8,8
6486,C,W;T,Suslov,Verona,1,9,-8,1,9,-8,14,14
7025,C,W;T,Cuenca H.,Genoa,1,1,0,1,1,0,1,1
7246,C,C,Sala A.,Lecce,1,3,-2,1,3,-2,9,9
5561,C,W;T,Stengs,Pisa,1,11,-10,1,11,-10,13,13
4677,C,W,Cornet,Genoa,1,7,-6,1,7,-6,5,5
7276,C,C,Cremaschi,Parma,1,5,-4,1,5,-4,8,8
7319,C,M;C,Fofana Sa.,Lecce,1,1,0,1,1,0,2,2
7322,C,M;C,Ngom,Lecce,1,1,0,1,1,0,1,1
2764,A,Pc,Martinez L.,Inter,34,34,0,34,34,0,360,360
6434,A,A,Yildiz,Juventus,30,24,6,30,25,5,213,213
4510,A,A,Leao,Milan,30,24,6,30,24,6,199,199
4871,A,Pc,Thuram,Inter,29,29,0,29,29,0,238,238
5734,A,A,Soulè,Roma,26,20,6,26,21,5,196,196
6052,A,Pc,Hojlund,Napoli,25,24,1,25,24,1,211,211
6572,A,Pc,Castro S.,Bologna,24,19,5,24,19,5,68,65
5637,A,Pc,Davis K.,Udinese,24,12,12,24,11,13,73,70
2137,A,Pc,Scamacca,Atalanta,22,19,3,22,19,3,98,98
7017,A,Pc,Douvikas,Como,21,8,13,21,7,14,42,39
7023,A,Pc,Pellegrino M.,Parma,21,13,8,21,12,9,84,81
531,A,A,Berardi,Sassuolo,21,21,0,21,21,0,85,85
505,A,A,Bonazzoli,Cremonese,20,1,19,20,1,19,25,25
6435,A,Pc,Krstovic,Atalanta,20,20,0,20,20,0,31,28
6552,A,Pc,Orban G.,Verona,20,15,5,20,15,5,35,32
2499,A,Pc,Vardy,Cremonese,20,15,5,20,15,5,58,55
2061,A,Pc,Simeone,Torino,19,8,11,19,7,12,73,70
6060,A,A,Laurientè,Sassuolo,19,15,4,19,15,4,39,39
2097,A,Pc,Kean,Fiorentina,18,33,-15,18,33,-15,159,159
7071,A,Pc,Esposito F.P.,Inter,18,7,11,18,7,11,30,27
5995,A,A,De Ketelaere,Atalanta,17,22,-5,17,23,-6,77,77
4436,A,A,Cambiaghi,Bologna,17,11,6,17,11,6,31,31
6646,A,A,Adams C.,Torino,17,14,3,17,14,3,36,36
7162,A,A,Giovane,Verona,17,1,16,17,1,16,30,30
4728,A,A,Nkunku,Milan,17,20,-3,17,20,-3,28,28
